127.0.0.1 - - [21/Jul/2022:09:15:33 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:34:33 +0700] "GET /web/index.htm?mode=index HTTP/1.1" 200 16006
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:34:34 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:34:44 +0700] "POST /web/index.htm;jsessionid=530398041929539B82B8DAB71BCEFC45 HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:34:46 +0700] "GET /web/index.htm?mode=getRequest HTTP/1.1" 200 14705
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:34:46 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:34:46 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:34:46 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:34:46 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:35:40 +0700] "GET /web/index.htm?mode=getRequest HTTP/1.1" 200 16842
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:35:40 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:35:40 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:35:40 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:35:40 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:48:26 +0700] "GET /web/index.htm?mode=getRequest HTTP/1.1" 200 16946
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:48:26 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:48:26 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:48:26 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:48:26 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:52:15 +0700] "GET /web/index.htm?mode=getRequest HTTP/1.1" 200 17295
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:52:15 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:52:15 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:52:15 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:52:15 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:53:59 +0700] "GET /web/index.htm?mode=getRequest HTTP/1.1" 200 16436
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:53:59 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:53:59 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:53:59 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [21/Jul/2022:09:53:59 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
