127.0.0.1 - - [01/Aug/2022:09:04:20 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:24 +0700] "GET /web/index.htm?mode=index HTTP/1.1" 200 16046
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:24 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:25 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:32 +0700] "POST /web/index.htm;jsessionid=D3A7F0EFC942CFC787F7CB61F5B4BDB6 HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:32 +0700] "GET /web/index.htm?mode=getRequest HTTP/1.1" 200 35924
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:32 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:32 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:32 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:32 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:33 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:56 +0700] "POST /web/index.htm HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:57 +0700] "GET /web/index.htm?mode=getProject HTTP/1.1" 200 16768
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:57 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:58 +0700] "POST /web/index.htm HTTP/1.1" 200 35924
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:58 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:58 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:58 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:58 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:04:59 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:00 +0700] "POST /web/index.htm HTTP/1.1" 200 14828
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:00 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:13 +0700] "GET /web/index.htm?mode=getRequest HTTP/1.1" 200 35924
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:13 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:13 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:13 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:13 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:13 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:26 +0700] "POST /web/index.htm HTTP/1.1" 200 16002
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:26 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:37 +0700] "POST /web/index.htm HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:37 +0700] "GET /web/index.htm?mode=getRequest HTTP/1.1" 200 35924
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:37 +0700] "GET /web/js/jquery.min.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:37 +0700] "GET /web/js/popper.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:37 +0700] "GET /web/js/bootstrap.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:37 +0700] "GET /web/js/main.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:05:37 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:07:54 +0700] "POST /web/index.htm HTTP/1.1" 200 14828
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:07:54 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:07:57 +0700] "GET /web/index.htm?mode=getProject HTTP/1.1" 200 16768
0:0:0:0:0:0:0:1 - - [01/Aug/2022:09:07:57 +0700] "GET /web/ui/css/line-icons.css HTTP/1.1" 404 788
